"location","area","unit","bedrooms","bathrooms_w_cs","floor_area","no_of_floors","car_parking_spaces","availability","price","district"
"thalapathpitiya",12,"perches","5",5,4395,NA,"2","Available now",62,"Colombo"
"malabe",10.56,"perches","4",3,2675,NA,"2","Available now",48,"Colombo"
"thalawathugoda",22,"perches","4",4,NA,NA,"None","Available now",60,"Colombo"
"colombo 8",10.4,"perches","3",3,2800,NA,"2","Available now",100,"Colombo"
"colombo 7",20.4,"perches","3",2,NA,NA,"2","Available now",367.2,"Colombo"
"mawanella",55,"perches","above 5",2,NA,NA,"6","For Urgent Sale",55,"Kegalle"
"lake drive",20,"perches","4",NA,5000,3,"3","Available now",NA,"Colombo"
"mount lavinia",13.5,"perches","5",4,5000,2,"2","Available now",80,"Colombo"
"wattala",13.5,"perches","3",3,2924,2,"3","Available now",40,"Gampaha"
"malabe",10.6,"perches","3",2,1190,1,"1","Available now",17.5,"Colombo"
"thalawathugoda",8.8,"perches","4",2,2500,2,"4","Available now",37,"Colombo"
"piliyandala",10,"perches","2",1,1000,1,"4","Available now",9.8,"Colombo"
"mirissa",25,"perches","5",3,2100,1,"4","Available now",24,"Matara"
"malabe",10.5,"perches","3",2,1190,1,"2","Available now",16.5,"Colombo"
"colombo 5",5.5,"perches","above 5",7,3700,3,"2","Available now",110,"Colombo"
"nawala",10,"perches","4",3,3500,NA,"2","Available now",69,"Colombo"
"dehiwala",24.52,"perches","above 5",5,4500,2,"6","Available now",110,"Colombo"
"pita kotte",30,"perches","above 5",6,7300,3,"6","Available now",160,"Colombo"
"kalubowila",62,"perches","4",4,4500,NA,"6","Available now",225,"Colombo"
"nugegoda",30,"perches","5",5,8000,3,"6","Available now",190,"Colombo"
"colombo 4",10,"perches","above 5",4,2500,2,"2","Available now",110,"Colombo"
"battaramulla",33,"perches","5",6,8000,NA,"6","Available now",260,"Colombo"
"pilimathalawa",30,"perches","5",3,2400,2,"3","Available now",27.5,"Kandy"
"ethul kotte",12,"perches","5",3,1800,NA,"1","Available now",68.4,"Colombo"
"nugegoda",26,"perches","5",4,3500,NA,"4","Available now",150,"Colombo"
"nugegoda",18.5,"perches","5",3,2200,NA,"2","Available now",54,"Colombo"
"pita kotte",15,"perches","5",4,5000,NA,"3","Available now",145,"Colombo"
"ethul kotte",11.7,"perches","5",3,NA,2,"1","Available now",54.5,"Colombo"
"kadugannawa",21,"perches","above 5",2,4000,2,"None","Available now",17.5,"Kandy"
"colombo 7",23,"perches","4",3,3000,2,"2","Available now",414,"Colombo"
"pelawatte",20.5,"perches","4",4,NA,2,"5","Available now",50,"Colombo"
"pelawatte",8.7,"perches","4",4,3330,3,"2","Available now",44.5,"Colombo"
"colombo 5",27.5,"perches","4",1,NA,1,"None","Available now",192.5,"Colombo"
"thalawathugoda",20,"perches","above 5",5,6200,3,"None","Available now",100,"Colombo"
"thalawathugoda",15,"perches","5",5,7500,3,"2","Available now",120,"Colombo"
"thalawathugoda",NA,NA,"4",3,NA,2,"None","Available now",32,"Colombo"
"pannipitiya",8,"perches","4",3,2300,2,"2","Available now",25.5,"Colombo"
"arangala",8,"perches","4",3,NA,2,"2","Available now",22.5,"Colombo"
"thalawathugoda",NA,NA,"3",4,NA,2,"None","Available now",36.5,"Colombo"
"pittugala",11.5,"perches","3",3,NA,NA,"2","Available now",17.8,"Colombo"
"piliyandala",9.5,"perches","3",3,NA,NA,"2","Available now",16,"Colombo"
"pannipitiya",9,"perches","4",3,2670,2,"2","Available now",25.5,"Colombo"
"panadura",28,"perches","5",4,4000,2,"None","Available now",33,"Kalutara"
"piliyandala",NA,NA,"5",4,4200,NA,"None","Available now",36,"Colombo"
"pelawatte",10.5,"perches","4",4,3200,2,"4","Available now",48.5,"Colombo"
"piliyandala",10,"perches","5",4,3200,2,"3","Available now",28.5,"Colombo"
"moratuwa",20,"perches","4",3,2900,2,"6","Available now",22.5,"Colombo"
"malabe",7,"perches","3",2,1350,NA,"2","Available now",14,"Colombo"
"malabe",7,"perches","3",2,NA,NA,"None","Available now",14,"Colombo"
"malabe",8.9,"perches","above 5",4,3200,3,"2","For Urgent Sale",27.5,"Colombo"
"pelawatte",8.9,"perches","4",4,3800,2,"3","Available now",65,"Colombo"
"boralesgamuwa",7.68,"perches","4",4,2500,2,"2","Available now",38,"Colombo"
"thalawathugoda",NA,NA,"4",4,3200,3,"5","Sold",52.5,"Colombo"
"malabe",NA,NA,"4",4,NA,2,"None","For Urgent Sale",23,"Colombo"
"athurugiriya",12.68,"perches","5",4,5500,2,"4","Available now",49.8,"Colombo"
"piliyandala",10,"perches","5",4,3900,2,"3","Available now",36,"Colombo"
"piliyandala",NA,NA,"4",2,2300,2,"None","Available now",18,"Colombo"
"piliyandala",8,"perches","3",2,1450,NA,"3","Available now",9.8,"Colombo"
"moratuwa",18,"perches","5",4,3800,2,"4","Available now",59,"Colombo"
"pelawatte",10,"perches","4",5,3200,2,"2","Available now",43.5,"Colombo"
"madiwela",NA,NA,"4",3,NA,3,"None","Available now",32.5,"Colombo"
"pelawatte",NA,NA,"4",4,3200,2,"2","Available now",44.5,"Colombo"
"piliyandala",10,"perches","5",4,3700,2,"2","Available now",36,"Colombo"
"piliyandala",10,"perches","5",4,3750,2,"None","Available now",36,"Colombo"
"moratuwa",18,"perches","5",4,3800,2,"None","Available now",59,"Colombo"
"katubedda",21,"perches","above 5",4,4000,2,"6","Available now",70,"Colombo"
"moratuwa",18,"perches","5",4,3800,2,"4","Available now",59,"Colombo"
"kottawa",6,"perches","3",3,NA,NA,"1","Available now",12.5,"Colombo"
"piliyandala",11.5,"perches","4",3,NA,NA,"None","Available now",18.5,"Colombo"
"moratuwa",9,"perches","4",2,2400,2,"2","Available now",22,"Colombo"
"piliyandala",11.85,"perches","3",3,NA,NA,"6","Available now",18.5,"Colombo"
"panadura",10,"perches","4",4,NA,2,"3","Available now",29.8,"Kalutara"
"panadura",10,"perches","4",3,3200,2,"2","Available now",29.8,"Kalutara"
"pittugala",NA,NA,"3",3,NA,NA,"4","Available now",16,"Colombo"
"malabe",NA,NA,"3",3,NA,NA,"3","Available now",16,"Colombo"
"piliyandala",12.85,"perches","3",3,NA,NA,"6","Available now",32,"Colombo"
"nugegoda",12.5,"perches","4",4,4100,3,"4","Available now",65,"Colombo"
"moratuwa",9,"perches","3",2,2800,2,"3","Available now",22,"Colombo"
"moratuwa",18,"perches","5",4,3800,2,"None","Available now",59,"Colombo"
"panadura",11.5,"perches","4",3,2800,2,"3","Available now",17.5,"Kalutara"
"kottawa",8,"perches","4",3,2700,2,"4","Available now",18.5,"Colombo"
"panadura",17,"perches","4",3,2800,2,"4","Available now",22.5,"Kalutara"
"piliyandala",11.85,"perches","3",3,2000,NA,"3","Available now",35,"Colombo"
"thalawathugoda",10,"perches","4",4,4200,2,"4","Available now",49.5,"Colombo"
"thalawathugoda",10,"perches","4",4,4200,2,"3","Available now",49.5,"Colombo"
"malabe",11,"perches","3",3,2100,NA,"2","Available now",19.5,"Colombo"
"malabe",6.8,"perches","4",3,2700,2,"2","Available now",28.5,"Colombo"
"kottawa",8,"perches","4",3,NA,2,"2","Available now",33,"Colombo"
"malabe",12.5,"perches","5",4,4000,2,"3","Available now",65,"Colombo"
"colombo 6",14,"perches","4",3,4300,2,"None","Available now",73,"Colombo"
"mount lavinia",10,"perches","4",3,4600,3,"2","Available now",58,"Colombo"
"malabe",10,"perches","5",5,NA,3,"None","Available now",59,"Colombo"
"kohuwala",10.5,"perches","5",4,6500,2,"5","Available now",125,"Colombo"
"nugegoda",10,"perches","5",4,3500,2,"2","Available now",45,"Colombo"
"colombo 3",12.7,"perches","4",5,3900,NA,"2","Available now",200,"Colombo"
"battaramulla",38.4,"perches","5",4,6600,2,"None","Available now",160,"Colombo"
"pelawatte",40,"perches","5",4,3500,2,"None","Available now",150,"Colombo"
"colombo 3",10.29,"perches","5",5,3500,NA,"6","Available now",170,"Colombo"
"kumaragewatta",7.7,"perches","4",3,3200,3,"2","Available now",44,"Colombo"
"thalawathugoda",15,"perches","4",3,3200,2,"None","Available now",52.5,"Colombo"
"thalawathugoda",8.63,"perches","4",3,3200,2,"2","Available now",31,"Colombo"
"kandy",NA,NA,"5",4,3200,NA,"6","Available now",150,"Kandy"
"pita kotte",6,"perches","4",2,2100,NA,"2","Available now",29.5,"Colombo"
"kottawa",8,"perches","4",3,3200,2,"None","Available now",31,"Colombo"
"battaramulla",19.37,"perches","3",4,3200,2,"2","Available now",50,"Colombo"
"colombo 6",12,"perches","5",4,6500,2,"5","Available now",125,"Colombo"
"thalawathugoda",12.5,"perches","5",4,4500,NA,"2","Available now",44,"Colombo"
"hokandara",16,"perches","4",3,3500,2,"4","Available now",52,"Colombo"
"pelawatte",10.5,"perches","4",3,3200,NA,"2","Available now",48,"Colombo"
"malabe",10,"perches","4",4,5165,3,"2","Available now",45,"Colombo"
"lake drive",15.5,"perches","4",4,5200,2,"3","Available now",175,"Colombo"
"nawala",10,"perches","4",4,3900,3,"None","Available now",65,"Colombo"
"ethul kotte",10,"perches","3",3,3500,2,"2","Available now",55,"Colombo"
"pelawatte",10,"perches","3",4,3950,2,"2","Available now",45,"Colombo"
"malabe",10,"perches","5",4,3500,NA,"2","Available now",60,"Colombo"
"madiwela",18,"perches","5",4,5250,3,"3","Available now",NA,"Colombo"
"pelawatte",6.5,"perches","4",3,2600,2,"2","Available now",37.5,"Colombo"
"kottawa",10,"perches","4",3,3000,2,"2","Available now",30,"Colombo"
"rathmalana",53,"perches","5",4,5500,2,"None","Available now",140,"Colombo"
"thalawathugoda",10.6,"perches","5",4,3600,2,"3","Available now",56,"Colombo"
"malabe",13.5,"perches","4",3,3200,2,"4","Available now",43,"Colombo"
"pita kotte",11.2,"perches","4",3,4500,2,"2","Available now",65,"Colombo"
"thalawathugoda",16,"perches","above 5",5,6500,2,"4","Available now",120,"Colombo"
"ethul kotte",18,"perches","5",4,5250,3,"None","Available now",70,"Colombo"
"boralesgamuwa",37,"perches","5",4,4500,2,"6","Available now",80,"Colombo"
"athurugiriya",10,"perches","3",3,2000,1,"None","Available now",17.5,"Colombo"
"pelawatte",20,"perches","4",4,4800,NA,"3","Available now",125,"Colombo"
"nugegoda",10,"perches","5",4,3500,NA,"None","Available now",45,"Colombo"
"battaramulla",10.5,"perches","4",3,3500,2,"4","Available now",43.5,"Colombo"
"mount lavinia",13.3,"perches","4",4,4500,3,"3","Available now",75,"Colombo"
"malabe",10,"perches","4",3,3000,2,"2","Available now",35,"Colombo"
"kalalgoda",12,"perches","4",4,4000,2,"2","Available now",42,"Colombo"
"mount lavinia",7.2,"perches","4",3,3500,NA,"1","Available now",46,"Colombo"
"malabe",21,"perches","above 5",6,6500,2,"3","Available now",69,"Colombo"
"maharagama",9,"perches","4",3,2300,2,"2","Available now",33.5,"Colombo"
"udahamulla",10,"perches","4",2,1600,2,"2","Available now",23,"Colombo"
"boralesgamuwa",8.12,"perches","5",2,2688,2,"2","Available now",28,"Colombo"
"pelawatte",24,"perches","above 5",9,14000,NA,"None","Available now",180,"Colombo"
"katubedda",9.87,"perches","above 5",4,3500,2,"2","For Urgent Sale",45,"Colombo"
"katubedda",12.15,"perches","4",4,3000,2,"2","For Urgent Sale",58.9,"Colombo"
"attidiya",10,"perches","5",NA,NA,NA,"3","For Urgent Sale",25.5,"Colombo"
"malabe",9,"perches","5",3,3100,2,"2","Available now",37.5,"Colombo"
"malabe",10.1,"perches","4",4,3200,2,"3","Available now",35,"Colombo"
"thalawathugoda",3800,"perches","5",4,3800,2,"None","Available now",47.5,"Colombo"
"thalawathugoda",34,"perches","4",3,3000,2,"3","Available now",105,"Colombo"
"battaramulla",12,"perches","4",4,5500,3,"3","Available now",85,"Colombo"
"thalawathugoda",10,"perches","4",4,4200,2,"2","Available now",49.5,"Colombo"
"nugegoda",7.9,"perches","4",3,2500,NA,"1","Available now",57,"Colombo"
"pelawatte",22,"perches","3",2,4800,NA,"2","Available now",100,"Colombo"
"rajagiriya",6.7,"perches","3",2,2500,NA,"1","Available now",20,"Colombo"
"thalawathugoda",30,"perches","5",5,10500,NA,"2","Available now",225,"Colombo"
"battaramulla",24,"perches","above 5",9,14000,NA,"4","Available now",180,"Colombo"
"thalahena",9.35,"perches","3",2,1543,1,"1","Available now",28,"Colombo"
"athurugiriya",11,"perches","3",2,1650,1,"3","Available now",16.5,"Colombo"
"wattala",7.25,"perches","above 5",3,NA,NA,"2","Available now",25,"Gampaha"
"colombo 7",16.48,"perches","4",3,3000,NA,"None","Available now",214.24,"Colombo"
"colombo 9",NA,NA,"2",2,800,NA,"2","Available now",13,"Colombo"
"nugegoda",NA,NA,"3",2,4000,NA,"None","Available now",85,"Colombo"
"hikkaduwa",146,"perches","above 5",5,NA,NA,"None","Available now",70,"Galle"
"nugegoda",18.5,"perches","above 5",3,NA,NA,"None","Available now",97.5,"Colombo"
"nugegoda",18.12,"perches","4",3,4000,2,"4","Available now",75,"Colombo"
"pita kotte",11.7,"perches","5",3,NA,2,"2","Available now",66,"Colombo"
"mount lavinia",17.7,"perches","4",2,1970,NA,"2","Available now",200,"Colombo"
"battaramulla",21,"perches","4",4,3800,2,"2","Available now",65,"Colombo"
"kalubowila",7.4,"perches","4",3,NA,2,"2","Available now",55,"Colombo"
"delkanda",6,"perches","5",3,2500,2,"2","Available now",24,"Colombo"
"thalawathugoda",7,"perches","3",2,3300,2,"2","Available now",40,"Colombo"
"nugegoda",34,"perches","above 5",8,10000,NA,"6","Available now",220,"Colombo"
"nawala",10,"perches","4",3,3500,NA,"2","Available now",70,"Colombo"
"pita kotte",18.75,"perches","above 5",4,4000,2,"4","Available now",60,"Colombo"
"ethul kotte",11.7,"perches","5",3,3800,NA,"None","Available now",69,"Colombo"
"kosgoda",160,"perches","above 5",5,5000,2,"2","For Urgent Sale",110,"Galle"
"nugegoda",24.5,"perches","above 5",6,4090,NA,"5","Available now",110,"Colombo"
"nawala",12,"perches","4",3,4000,NA,"None","Available now",90,"Colombo"
"colombo 4",NA,NA,"above 5",3,NA,NA,"None","Available now",NA,"Colombo"
"beruwala",30,"perches","2",2,1000,NA,"None","Available now",36,"Kalutara"
"colombo 5",9.8,"perches","4",4,3000,2,"2","Available now",120,"Colombo"
"menikhinne",30,"perches","3",2,1700,2,"1","Available now",12,"Kandy"
"akuregoda",18,"perches","4",7,NA,NA,"2","Available now",50,"Colombo"
"mirihana",6,"perches","3",2,1500,2,"None","Available soon",35,"Colombo"
"pelawatte",30,"perches","above 5",8,9000,NA,"6","Price Reduced!",320,"Colombo"
"matale",33,"perches","3",2,NA,NA,"None","Available now",10,"Matale"
"panadura",21,"perches","above 5",5,NA,NA,"None","Available now",35,"Kalutara"
"ethul kotte",9.33,"perches","5",2,NA,2,"2","For Urgent Sale",45,"Colombo"
"thalawathugoda",8,"perches","5",4,2500,3,"2","Available now",30,"Colombo"
"gampaha",16.5,"perches","5",2,4200,NA,"1","For Urgent Sale",12,"Gampaha"
"kumaragewatta",40,"perches","5",4,5500,2,"None","Available now",145,"Colombo"
"kaduwela",7.5,"perches","4",1,NA,NA,"None","Available now",7.5,"Colombo"
"rajagiriya",15,"perches","5",4,NA,2,"2","Available now",150,"Colombo"
"battaramulla",21,"perches","3",3,3000,2,"None","Available now",60,"Colombo"
"kiribathgoda",13.25,"perches","above 5",4,1990,2,"2","For Urgent Sale",25,"Colombo"
"thalawathugoda",9,"perches","5",4,2500,3,"2","Available now",30,"Colombo"
"pannipitiya",NA,NA,"above 5",4,NA,NA,"2","Available now",60,"Colombo"
"hokandara",12.45,"perches","3",3,1800,2,"1","For Urgent Sale",35,"Colombo"
"nawala",10,"perches","3",2,NA,2,"1","Available now",45,"Colombo"
"nugegoda",NA,NA,"4",3,3500,NA,"2","Available now",80,"Colombo"
"battaramulla",6.4,"perches","3",2,2600,2,"1","Available now",35,"Colombo"
"kosgama",16,"perches","above 5",2,2880,2,"None","Available now",32,"Colombo"
"pita kotte",20.5,"perches","5",4,NA,2,"1","Available now",80,"Colombo"
"thalawathugoda",13,"perches","4",2,NA,2,"5","Available now",35,"Colombo"
"pelawatte",22,"perches","3",4,5000,2,"2","For Urgent Sale",97,"Colombo"
"hokandara",16.6,"perches","3",3,2700,2,"2","Available now",41,"Colombo"
"minuwangoda",59,"perches","4",3,3468,2,"4","Available now",23.5,"Gampaha"
"mount lavinia",10,"perches","3",2,2500,1,"None","Available now",26,"Colombo"
"thalawathugoda",50.17,"perches","4",3,3000,2,"6","Available now",110,"Colombo"
"malabe",6,"perches","3",2,1850,NA,"None","Available now",23,"Colombo"
"piliyandala",8.5,"perches","4",4,NA,2,"None","Available now",34,"Colombo"
"dehiwala",7,"perches","above 5",4,3500,NA,"None","Available now",50,"Colombo"
"pannipitiya",12,"perches","above 5",2,4500,NA,"2","Available now",40,"Colombo"
"mount lavinia",19.5,"perches","5",5,9000,NA,"5","Available now",76,"Colombo"
"colombo 15",2,"perches","2",1,500,NA,"None","Available now",5,"Colombo"
"rajagiriya",6.06,"perches","5",3,3800,NA,"2","Available now",56,"Colombo"
"kottawa",16,"perches","above 5",4,2340,NA,"None","Available now",30,"Colombo"
"angoda",6.5,"perches","4",3,2200,NA,"None","Available now",20,"Colombo"
"mount lavinia",NA,NA,"4",2,NA,NA,"2","Available now",55,"Colombo"
"rajagiriya",14,"perches","5",2,2400,NA,"4","Available now",22,"Colombo"
"colombo 5",8,"perches","4",NA,2750,NA,"1","Available now",70,"Colombo"
"colombo 5",50,"perches","5",5,NA,NA,"3","Available now",300,"Colombo"
"colombo 8",18,"perches","2",2,3700,NA,"None","Available now",115,"Colombo"
"ja ela",10,"perches","5",3,3350,NA,"None","Available now",30,"Gampaha"
"kadawatha",10.25,"perches","4",3,2750,NA,"None","Available now",30,"Gampaha"
"battaramulla",8.8,"perches","4",2,3500,NA,"None","Available now",45,"Colombo"
"colombo 8",15.5,"perches","4",4,5825,NA,"None","Available now",165,"Colombo"
"ragama",26,"perches","4",4,2500,NA,"None","Available now",33.8,"Gampaha"
"bellanwila",19.75,"perches","above 5",7,4500,2,"4","Available now",65,"Colombo"
"homagama",10,"perches","4",3,2700,3,"1","Available now",28,"Colombo"
"maharagama",16.7,"perches","4",3,3000,2,"4","Available now",47.5,"Colombo"
"athurugiriya",NA,NA,"4",2,2800,NA,"None","Available now",38,"Colombo"
"uswetakeiyawa",10,"perches","2",1,1550,NA,"1","Available now",7,"Gampaha"
"pannipitiya",17.5,"perches","5",7,2800,NA,"None","Available now",67.5,"Colombo"
"mount lavinia",5.4,"perches","above 5",8,1700,NA,"None","Available now",73,"Colombo"
"kohuwala",10,"perches","above 5",4,3500,NA,"None","Available now",60,"Colombo"
"homagama",10,"perches","3",2,1400,NA,"None","Available now",11,"Colombo"
"ja ela",12.1,"perches","4",3,2900,2,"None","Available now",35,"Gampaha"
"colombo 5",10,"perches","3",2,2000,NA,"2","Available now",82,"Colombo"
"kohuwala",10,"perches","4",NA,3500,2,"None","Available now",60,"Colombo"
"colombo 5",7.8,"perches","4",3,3200,NA,"3","Available now",105,"Colombo"
"dehiwala",NA,NA,"3",2,3500,NA,"None","Available now",32,"Colombo"
"kottawa",22.5,"perches","3",1,1750,NA,"2","Available now",48,"Colombo"
"kottawa",10,"perches","5",3,2200,NA,"3","Available now",22,"Colombo"
"athurugiriya",6,"perches","3",3,1200,1,"2","Available now",12,"Colombo"
"colombo 7",NA,NA,"4",NA,7000,NA,"None","Available now",800,"Colombo"
"kandy",10,"perches","4",3,2660,NA,"2","Available now",37,"Kandy"
"katugastota",26,"perches","5",3,4500,NA,"5","Available now",55,"Kandy"
"colombo 6",8.5,"perches","3",2,2000,NA,"1","Available now",85,"Colombo"
"colombo 6",6.74,"perches","4",3,2500,2,"1","Available now",57.29,"Colombo"
"dehiwala",61,"perches","4",4,4500,2,"6","Available now",215,"Colombo"
"padukka",7200,"perches","4",3,182,NA,"None","Available now",80,"Colombo"
"pannipitiya",14,"perches","3",3,2300,NA,"None","Available now",22.5,"Colombo"
"delkanda",10,"perches","5",4,3800,NA,"None","Available now",45,"Colombo"
"thalawathugoda",13,"perches","above 5",4,3800,NA,"None","Available now",32,"Colombo"
"nugegoda",20,"perches","above 5",7,6500,NA,"None","Available now",110,"Colombo"
"homagama",17,"perches","3",NA,1600,NA,"None","Available now",9,"Colombo"
"kottawa",12,"perches","4",2,2100,NA,"None","Available now",13.5,"Colombo"
"colombo 5",27,"perches","4",2,3000,NA,"None","Available now",290,"Colombo"
"pannipitiya",8.42,"perches","3",2,2000,NA,"None","Available now",25,"Colombo"
"mattegoda",10.08,"perches","4",4,4000,NA,"None","Available now",29,"Colombo"
"malabe",10.56,"perches","4",3,2675,NA,"None","Available now",49.5,"Colombo"
"pannipitiya",10.5,"perches","above 5",2,2500,NA,"None","Available now",27.5,"Colombo"
"mirihana",6,"perches","3",2,1500,NA,"None","Available now",36,"Colombo"
"kottawa",10,"perches","5",2,2600,NA,"None","Available now",25,"Colombo"
"nugegoda",18.75,"perches","4",2,2700,NA,"None","Available now",56.25,"Colombo"
"ethul kotte",14,"perches","3",2,2500,NA,"None","Available now",67.2,"Colombo"
"malabe",8,"perches","4",3,2800,NA,"None","Available now",29,"Colombo"
"kandana",8,"perches","4",3,2300,NA,"None","Available now",40,"Gampaha"
"pannipitiya",8.3,"perches","3",2,1700,NA,"None","Available now",185,"Colombo"
"bentota",60,"perches","3",2,2000,NA,"6","Available now",22,"Galle"
"malabe",10.5,"perches","3",2,1190,NA,"None","Available now",16.5,"Colombo"
"pannipitiya",17,"perches","4",1,1390,NA,"None","Available now",22,"Colombo"
"katubedda",14.5,"perches","4",3,2000,NA,"None","Available now",34,"Colombo"
"pita kotte",10.9,"perches","4",2,2500,NA,"None","Available now",35,"Colombo"
"malabe",10,"perches","3",2,1397,NA,"2","Available now",23,"Colombo"
"colombo 3",40,"perches","above 5",5,7500,NA,"6","Available now",1,"Colombo"
"hokandara",24,"perches","3",3,3500,2,"2","Available now",60,"Colombo"
"galle",11.2,"perches","4",2,2200,2,"2","For Urgent Sale",22.5,"Galle"
"thalawathugoda",30,"perches","above 5",4,9000,3,"2","Sold",135,"Colombo"
"malabe",10,"perches","3",2,1397,NA,"None","Available now",22.5,"Colombo"
"wadduwa",NA,NA,"above 5",NA,10000,NA,"None","Available now",180,"Kalutara"
"pepiliyana",27,"perches","above 5",5,7100,NA,"None","Available now",170,"Colombo"
"pelawatte",16,"perches","above 5",5,3000,NA,"None","Available now",85,"Colombo"
"wijerama",6,"perches","4",2,2354,NA,"None","Available now",40,"Colombo"
"battaramulla",6,"perches","4",3,2700,NA,"None","Available now",38.5,"Colombo"
"pannipitiya",12,"perches","4",3,2750,NA,"None","Available now",27,"Colombo"
"colombo 8",8.5,"perches","above 5",4,2700,NA,"2","Available now",150,"Colombo"
"nugegoda",26.5,"perches","4",4,3500,2,"5","Available now",150,"Colombo"
"gampaha",12.7,"perches","4",2,1200,NA,"None","Available now",NA,"Gampaha"
"minuwangoda",10,"perches","2",1,1000,1,"2","For Urgent Sale",3.2,"Gampaha"
"mattegoda",3.5,"perches","4",1,900,1,"2","Available now",7,"Colombo"
"malabe",25,"perches","5",3,4000,2,"2","For Urgent Sale",45,"Colombo"
"thalawathugoda",16,"perches","5",7,7500,NA,"None","Available now",120,"Colombo"
"colombo 7",16.9,"perches","4",3,2700,NA,"1","Available now",350,"Colombo"
"colombo 5",11.8,"perches","3",4,NA,NA,"3","Available now",260,"Colombo"
"battaramulla",21,"perches","4",3,3000,NA,"1","Available now",55,"Colombo"
"ja ela",14,"perches","4",3,2800,NA,"None","Available now",26,"Gampaha"
"panadura",NA,NA,"2",NA,NA,NA,"None","Available now",6.5,"Kalutara"
"moratuwa",19,"perches","5",3,3000,2,"None","Available now",40,"Colombo"
"moratuwa",10,"perches","4",NA,NA,2,"None","Available now",14,"Colombo"
"mount lavinia",10,"perches","3",2,2500,NA,"None","Available now",31,"Colombo"
"kalutara",20,"perches","3",3,NA,NA,"None","Available now",5,"Kalutara"
"ahangama",NA,NA,"2",NA,NA,NA,"None","Available now",23.5,"Galle"
"galle",NA,NA,"3",NA,NA,NA,"None","Available now",126,"Galle"
"dikwella",NA,NA,"2",2,NA,NA,"None","Available now",32,"Matara"
"galle",4.35,"perches","above 5",NA,NA,3,"None","Available now",66,"Galle"
"unawatuna",NA,NA,"above 5",6,NA,NA,"None","Available now",186,"Galle"
"ahangama",NA,NA,"3",NA,NA,NA,"None","Available now",66,"Galle"
"unawatuna",139,"perches","2",NA,NA,NA,"None","Available now",NA,"Galle"
"unawatuna",1,"acres","above 5",3,NA,NA,"None","Available now",49,"Galle"
"koggala",40,"perches","2",NA,NA,NA,"None","Available now",23.5,"Galle"
"galle",171,"perches","4",NA,NA,NA,"None","Available now",42,"Galle"
"galle",NA,NA,"2",NA,NA,NA,"None","Available now",126,"Galle"
"koggala",120,"perches","3",NA,NA,NA,"None","Available now",43.25,"Galle"
"ahangama",NA,NA,"2",NA,NA,NA,"None","Available now",21,"Galle"
"koggala",85,"perches","2",NA,NA,NA,"None","Available now",57,"Galle"
"minuwangoda",76,"perches","above 5",4,3468,2,"6","Available now",36.8,"Gampaha"
"galle",184,"perches","3",3,NA,NA,"None","Available now",99,"Galle"
"kalahe",24,"perches","4",5,NA,NA,"None","Available now",46,"Galle"
"unawatuna",2.5,"acres","3",NA,NA,NA,"None","Available now",89.5,"Galle"
"galle",110,"perches","2",NA,NA,NA,"None","Available now",16.4,"Galle"
"beliatta",4,"acres","above 5",NA,NA,NA,"None","Available now",30,"Hambantota"
"unawatuna",2.5,"acres","above 5",NA,NA,NA,"None","Available now",230,"Galle"
"thalawathugoda",10.2,"perches","5",3,2800,3,"3","Available now",29.5,"Colombo"
"kandy",9,"perches","3",2,1900,2,"2","Available now",21.5,"Kandy"
"nugegoda",6.5,"perches","above 5",6,5500,4,"2","Available now",50,"Colombo"
"nugegoda",11,"perches","5",4,5000,3,"3","Available now",68,"Colombo"
"nugegoda",9,"perches","4",3,3200,2,"2","Available now",37,"Colombo"
"nugegoda",9,"perches","4",3,3200,2,"2","Available now",37,"Colombo"
"nugegoda",12,"perches","5",5,4800,3,"4","Available now",65,"Colombo"
"thalawathugoda",11,"perches","5",4,5000,3,"3","Available now",68,"Colombo"
"nugegoda",12,"perches","5",5,4800,3,"4","Available now",65,"Colombo"
"thalawathugoda",7.7,"perches","4",4,3300,2,"2","Available now",44,"Colombo"
"thalawathugoda",10,"perches","4",4,4200,2,"2","Available now",49.5,"Colombo"
"thalawathugoda",7.5,"perches","4",4,3400,2,"3","Available now",38.5,"Colombo"
"thalawathugoda",51,"perches","4",3,3000,2,"6","Available now",105,"Colombo"
"thalawathugoda",12,"perches","above 5",5,6500,2,"2","Available now",44,"Colombo"
"thalawathugoda",22,"perches","5",4,4500,3,"3","Available now",115,"Colombo"
"thalawathugoda",11,"perches","5",4,3800,3,"4","Available now",44,"Colombo"
"thalawathugoda",16,"perches","5",5,6000,3,"4","Available now",120,"Colombo"
"thalawathugoda",16,"perches","5",5,6000,4,"4","Available now",120,"Colombo"
"battaramulla",6,"perches","3",3,2800,2,"2","Available now",46,"Colombo"
"dehiwala",9.4,"perches","3",2,2500,NA,"None","Available now",65,"Colombo"
"dehiwala",30,"perches","4",3,3500,NA,"None","Available now",125,"Colombo"
"kottawa",18.5,"perches","3",2,1800,NA,"None","Available now",31.5,"Colombo"
"matugama",150,"perches","above 5",2,2500,NA,"None","Available now",40,"Kalutara"
"colombo 8",20,"perches","5",4,3800,NA,"None","Available now",180,"Colombo"
"weligama",30,"perches","4",3,3500,NA,"4","Available now",36,"Matara"
"gampaha",15,"perches","4",3,5200,NA,"2","Available now",27.5,"Gampaha"
"nugegoda",16,"perches","above 5",4,3500,NA,"None","Available now",65,"Colombo"
